======================================================================
SIMPLIFIED TABLE: SITE CODE | SITE NAME | OFFERING STAND
======================================================================
Site Code    Site Name          Stand   
M786         Mohenjo-daro       31      
M788         Mohenjo-daro       40      
M79          Mohenjo-daro       16      
M793         Mohenjo-daro       112     
M8           Mohenjo-daro       74      
M80          Mohenjo-daro       16      
M802         Mohenjo-daro       108     
M806         Mohenjo-daro       40b     
M807         Mohenjo-daro       40b     
M81          Mohenjo-daro       65      
M814         Mohenjo-daro       32      
M815         Mohenjo-daro       68      
M819         Mohenjo-daro       16      
M82          Mohenjo-daro       16      
M83          Mohenjo-daro       66      
M830         Mohenjo-daro       53      
M836         Mohenjo-daro       3       
M84          Mohenjo-daro       16      
M85          Mohenjo-daro       62      
M86          Mohenjo-daro       16      
M861         Mohenjo-daro       72      
M87          Mohenjo-daro       88      
M872         Mohenjo-daro       113     
M875         Mohenjo-daro       94      
M88          Mohenjo-daro       53      
M880         Mohenjo-daro       34      
M89          Mohenjo-daro       84      
M9           Mohenjo-daro       75      
M90          Mohenjo-daro       16      
M91          Mohenjo-daro       53      
M916         Mohenjo-daro       66      
M92          Mohenjo-daro       16      
M921         Mohenjo-daro       32      
M926         Mohenjo-daro       32      
M93          Mohenjo-daro       16      
M931         Mohenjo-daro       39      
M94          Mohenjo-daro       84      
M95          Mohenjo-daro       16      
M953         Mohenjo-daro       71      
M96          Mohenjo-daro       16      
M967         Mohenjo-daro       114     
M97          Mohenjo-daro       16      
M973         Mohenjo-daro       34      
M98          Mohenjo-daro       16      
M99          Mohenjo-daro       16      
ND1          Nindowari          35b     
ND2          Nindowari          2       
NS5          Nausharo           15      
NS6          Nausharo           48      
NS7          Nausharo           39      
NS8          Nausharo           n/a     
PBM1         Pabumath           n/a     
RGR1         Rakigarhi          n/a     
RGR2         Rakigarhi          71      
RGR3         Rakigarhi          9       
SKTD1        Surkotada          22      
